source,State,District,Rivers / Streams,start_date
news_reports,Kerala,Thiruvananthapuram,Neyyar,2003-01-31 18:30:00+00
news_reports,Gujarat,Ahmadabad,N/A,2023-02-23 18:30:00+00
news_reports,Tamil Nadu,Tiruchirappalli,Kaveri,2019-09-24 18:30:00+00
news_reports,Tamil Nadu,Tiruchirappalli,Kaveri,2019-09-27 18:30:00+00
news_reports,Tamil Nadu,Thiruvarur,"Thirumalairajan, Putharu",2019-09-25 18:30:00+00
news_reports,Haryana,Panchkula,Mahadev,2023-02-27 18:30:00+00
news_reports,Puducherry,Puducherry,Thenpennaiar,2017-09-09 18:30:00+00
news_reports,Punjab,Rupnagar,Sawan,2023-03-10 18:30:00+00
news_reports,Assam,Hojai,Kopili,2022-03-26 18:30:00+00
news_reports,Odisha,Jajapur,Brahmani,2021-08-18 18:30:00+00
news_reports,Tamil Nadu,Tirunelveli,"Nambiyar, Tamirabarani, Vaigai, Kaveri, Kollidam, Palar",2018-05-12 18:30:00+00
news_reports,Tamil Nadu,Cuddalore,Kollidam,2018-07-11 18:30:00+00
news_reports,Tamil Nadu,Thoothukkudi,Vaippar,2019-08-16 18:30:00+00
news_reports,Haryana,Sonipat,yamuna,2023-03-18 18:30:00+00
news_reports,Odisha,Kendrapara,Luna,2023-03-30 18:30:00+00
news_reports,Haryana,Sonipat,yamuna,2021-07-24 18:30:00+00
news_reports,Tamil Nadu,Tiruchirappalli,Kaveri,2018-07-16 18:30:00+00
news_reports,Tamil Nadu,Chennai,N/A,2023-03-14 18:30:00+00
news_reports,"Uttarakhand, Uttar Pradesh",Udham Singh Nagar,Dhela,2022-10-18 18:30:00+00
news_reports,Punjab,Sahibzada Ajit Singh Nagar,N/A,2023-03-21 18:30:00+00
news_reports,Goa,South Goa,Khandepar,2022-10-20 18:30:00+00
news_reports,Madhya Pradesh,Morena,Chambal,2022-04-20 18:30:00+00
news_reports,Punjab,Shahid Bhagat Singh Nagar,Sutlej,2022-10-21 18:30:00+00
news_reports,Madhya Pradesh,Bhopal,N/A,2021-02-17 18:30:00+00
news_reports,Madhya Pradesh,Sidhi,"Sone ",2022-11-02 18:30:00+00
news_reports,Kerala,Ernakulam,N/A,2021-03-28 18:30:00+00
news_reports,Jammu & Kashmir,Shupiyan,"Tongri Nalla, Rambi Ara",2022-11-07 18:30:00+00
news_reports,Odisha,Kendrapara,Luna,2022-11-07 18:30:00+00
news_reports,Punjab,"Hoshiarpur, Amritsar","Sutlej, Beas",2022-11-07 18:30:00+00
news_reports,Karnataka,chamarajanagar,N/A,2021-05-18 18:30:00+00
news_reports,Tamil Nadu,Chennai,N/A,2021-02-18 18:30:00+00
news_reports,Goa,"North Goa, South Goa",N/A,2021-09-30 18:30:00+00
news_reports,Jharkhand,Hazaribagh,"Sawana ",2022-11-10 18:30:00+00
news_reports,Haryana,"Faridabad, Palwal",yamuna,2023-03-20 18:30:00+00
news_reports,Punjab,Amritsar,Ravi,2022-11-11 18:30:00+00
news_reports,Andhra Pradesh,East Godavari,godavari,2022-11-12 18:30:00+00
news_reports,Punjab,Jalandhar,Sutlej,2022-11-12 18:30:00+00
news_reports,Karnataka,Bangalore,"Vrishabhavati ",2020-12-25 18:30:00+00
news_reports,Maharashtra,Raigarh,Taloja,2022-11-14 18:30:00+00
news_reports,Punjab,Shahid Bhagat Singh Nagar,N/A,2023-04-28 18:30:00+00
news_reports,Maharashtra,Aurangabad,Sukhana,2022-11-13 18:30:00+00
news_reports,Maharashtra,Raigarh,Taloja,2016-07-26 18:30:00+00
news_reports,Tamil Nadu,Thoothukkudi,Vaippar,2022-11-15 18:30:00+00
news_reports,Meghalaya,West Khasi Hills,"Wah Kynshi, Namiliang",2022-11-16 18:30:00+00
news_reports,Assam,Cachar,Barak,2022-11-17 18:30:00+00
news_reports,Maharashtra,N/A,Vaitarna,2016-06-15 18:30:00+00
news_reports,Maharashtra,Mumbai,"Mithi, Mahim Creek",2019-02-13 18:30:00+00
news_reports,Punjab,"Ludhiana, Jalandhar, Shahid Bhagat Singh Nagar, Gurdaspur, Amritsar","Sutlej, Ravi, Beas",2023-01-10 18:30:00+00
news_reports,Maharashtra,Thane,"Desai Khadi, Ulhas",2016-11-30 18:30:00+00
news_reports,Madhya Pradesh,Datia,Sindh,2021-03-09 18:30:00+00
news_reports,Punjab,"Rupnagar, Chandigarh",N/A,2023-01-11 18:30:00+00
news_reports,Haryana,Yamunanagar,yamuna,2021-06-11 18:30:00+00
news_reports,Maharashtra,Raigarh,"Kalundre ",2018-06-22 18:30:00+00
news_reports,Maharashtra,Raigarh,Kundalika,2016-03-28 18:30:00+00
news_reports,Maharashtra,N/A,Vaitarna,2016-08-13 18:30:00+00
news_reports,Uttar Pradesh,Banda,N/A,2022-01-27 18:30:00+00
news_reports,Maharashtra,Thane,Ulhas,2016-04-01 18:30:00+00
news_reports,Uttar Pradesh,Bara Banki,N/A,2021-10-07 18:30:00+00
news_reports,Madhya Pradesh,Singrauli,N/A,2023-01-10 18:30:00+00
news_reports,Maharashtra,Thane,Ulhas,2015-07-09 18:30:00+00
news_reports,Maharashtra,Thane,Kalyan Creek,2017-04-08 18:30:00+00
news_reports,Punjab,"Rupnagar, Chandigarh",not mentioned,2023-01-10 18:30:00+00
news_reports,Odisha,Khordha,Prachi,2023-01-09 18:30:00+00
news_reports,Maharashtra,Thane,Thane Creek,2016-08-09 18:30:00+00
news_reports,West Bengal,Paschim Bardhaman,N/A,2023-01-09 18:30:00+00
news_reports,Punjab,Ludhiana,Sutlej,2023-01-09 18:30:00+00
news_reports,Himachal Pradesh,Kangra,"Beas, Neugal, Mandh Khud",2023-01-09 18:30:00+00
news_reports,Maharashtra,Raigarh,Amba,2016-09-26 18:30:00+00
news_reports,Maharashtra,Ahmadnagar,godavari,2019-07-06 18:30:00+00
news_reports,Maharashtra,Nashik,godavari,2017-01-01 18:30:00+00
news_reports,Bihar,Begusarai,N/A,2023-02-20 18:30:00+00
news_reports,Maharashtra,Sindhudurg,"Hadi, Kalaval ",2016-10-08 18:30:00+00
news_reports,Madhya Pradesh,Narmadapuram,Narmada,2023-01-05 18:30:00+00
news_reports,Maharashtra,Satara,Yerala,2015-10-18 18:30:00+00
news_reports,Rajasthan,"Ajmer, Banswara, Bhilwara, Chittaurgarh, Dungarpur, Hanumangarh, Jaipur, Jalor, Kota, Pali, Sikar, Sirohi, Tonk, Udaipur, Alwar, Barmer, Baran, Bharatpur, Bikaner, Churu, Bundi, Dhaulpur, Ganganagar, Jaisalmer, Jhalawar, Jhunjhunun, Jodhpur, Nagaur, Pratapgarh, Rajsamand, Dausa, Karauli, Sawai Madhopur",N/A,2023-01-05 18:30:00+00
news_reports,Maharashtra,Pune,"Mutha, Bhima",2023-01-04 18:30:00+00
news_reports,Maharashtra,Satara,"Krishna ",2016-06-11 18:30:00+00
news_reports,Maharashtra,Sangli,"Krishna ",2015-06-08 18:30:00+00
news_reports,Maharashtra,Osmanabad,"Bhogavati ",2017-03-20 18:30:00+00
news_reports,Kerala,Ernakulam,peri,2023-01-03 18:30:00+00
news_reports,Maharashtra,Pune,Bhima,2015-12-19 18:30:00+00
news_reports,Kerala,Ernakulam,N/A,2022-12-31 18:30:00+00
news_reports,Bihar,Patna,N/A,2022-12-31 18:30:00+00
news_reports,N/A,N/A,N/A,2022-12-12 18:30:00+00
news_reports,Maharashtra,Pune,Bhima,2016-04-18 18:30:00+00
news_reports,Maharashtra,Pune,Bhima,2019-05-28 18:30:00+00
news_reports,Bihar,Patna,N/A,2022-12-17 18:30:00+00
news_reports,Goa,North Goa,Uguem,2022-12-12 18:30:00+00
news_reports,Maharashtra,Satara,Mula-Mutha,2018-06-04 18:30:00+00
