Country,State,Year,Station Code,Monitoring Location,"Minimum Temperature For Medium And Minor Rivers (UOM:°C(Centigrade)), Scaling Factor:1","Maximum Temperature For Medium And Minor Rivers (UOM:°C(Centigrade)), Scaling Factor:1","Minimum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Potential Of Hydrogen Value In Water (UOM:pH), Scaling Factor:1","Maximum Potential Of Hydrogen Value In Water (UOM:pH), Scaling Factor:1","Minimum Conductivity Level (UOM:µmhos/cm(micromhospercentimeter)), Scaling Factor:1","Maximum Conductivity Level (UOM:µmhos/cm(micromhospercentimeter)), Scaling Factor:1","Minimum Biochemical Oxygen Demand (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Biochemical Oxygen Demand (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Nitrate N + Nitrite N Required For Medium And Minor Rivers (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum  Of Nitrate N + Nitrite N Required For Medium And Minor Rivers (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Fecal Coliforms For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum   Of Fecal Coliforms For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum  Of Total Coliform For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum  Of Total Coliform For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Fecal Streptococci Required For Different Water Bodies (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Fecal Streptococci Required For Different Water Bodies (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1"
India,Goa,"Calendar Year (Jan - Dec), 2020",1545.0,"RIVER MADAI AT DABOS - VALPOI, GOA",28.0000000000000000,31.0000000000000000,5.1000000000000000,8.0000000000000000,5.4000000000000000,7.8000000000000000,61.0000000000000000,297.0000000000000000,1.00000000000000000000,2.3000000000000000,0.11000000000000000000,0.32000000000000000000,220.0000000000000000,1700.0000000000000000,270.0000000000000000,2700.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",1546.0,"RIVER KHANDEPAR AT OPA - PONDA, GOA",27.0000000000000000,31.0000000000000000,6.5000000000000000,7.6000000000000000,6.3000000000000000,7.7000000000000000,12.0000000000000000,163.0000000000000000,1.00000000000000000000,2.5000000000000000,0.11000000000000000000,0.38000000000000000000,110.0000000000000000,1400.0000000000000000,220.0000000000000000,1700.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",1547.0,"RIVER TALPONA AT CANACONA, GOA",27.0000000000000000,30.0000000000000000,6.6000000000000000,7.8000000000000000,6.3000000000000000,8.1000000000000000,46.0000000000000000,122.0000000000000000,1.00000000000000000000,1.20000000000000000000,0.11000000000000000000,0.32000000000000000000,330.0000000000000000,2300.0000000000000000,490.0000000000000000,4600.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",1548.0,"RIVER ASSONORA AT ASSONORA, GOA",27.0000000000000000,30.0000000000000000,5.7000000000000000,7.2000000000000000,5.6000000000000000,6.9000000000000000,50.0000000000000000,127.0000000000000000,1.00000000000000000000,2.2000000000000000,0.11000000000000000000,0.32000000000000000000,270.0000000000000000,1700.0000000000000000,340.0000000000000000,2400.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",2270.0,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE , U/S OPA WATERWORKS, SANGUEM",27.0000000000000000,31.0000000000000000,6.5000000000000000,8.0000000000000000,6.1000000000000000,7.7000000000000000,12.0000000000000000,155.0000000000000000,1.00000000000000000000,2.5000000000000000,0.11000000000000000000,0.32000000000000000000,110.0000000000000000,1700.0000000000000000,210.0000000000000000,2200.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",2271.0,"RIVER SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",27.0000000000000000,30.0000000000000000,4.5000000000000000,7.0000000000000000,6.3000000000000000,7.4000000000000000,40.0000000000000000,250.0000000000000000,1.00000000000000000000,2.5000000000000000,0.11000000000000000000,0.66000000000000000000,780.0000000000000000,4900.0000000000000000,1200.0000000000000000,9400.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",2272.0,"RIVER KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEM",27.0000000000000000,31.0000000000000000,6.6000000000000000,8.0000000000000000,6.1000000000000000,7.6000000000000000,15.0000000000000000,209.0000000000000000,1.00000000000000000000,1.70000000000000000000,0.11000000000000000000,0.32000000000000000000,780.0000000000000000,2300.0000000000000000,1100.0000000000000000,3300.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",2273.0,"RIVER SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",28.0000000000000000,30.0000000000000000,4.3000000000000000,6.5000000000000000,6.8000000000000000,7.9000000000000000,23320.000000000000,65600.000000000000,1.00000000000000000000,1.00000000000000000000,0.11000000000000000000,1.50000000000000000000,1100.0000000000000000,3300.0000000000000000,2200.0000000000000000,4900.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",2274.0,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,27.0000000000000000,32.0000000000000000,2.0000000000000000,7.1000000000000000,6.2000000000000000,7.3000000000000000,30.0000000000000000,656.0000000000000000,1.00000000000000000000,5.0000000000000000,0.11000000000000000000,0.74000000000000000000,1300.0000000000000000,7900.0000000000000000,2300.0000000000000000,13000.0000000000000000,,
India,Goa,"Calendar Year (Jan - Dec), 2020",2275.0,"RIVER CHAPORA NEAR ALORNA FORT , PERNEM",26.0000000000000000,31.0000000000000000,6.1000000000000000,8.5000000000000000,6.5000000000000000,7.3000000000000000,16.0000000000000000,7078.0000000000000000,1.00000000000000000000,1.80000000000000000000,0.11000000000000000000,0.54000000000000000000,1300.0000000000000000,4900.0000000000000000,1700.0000000000000000,7900.0000000000000000,,
